antecedent,consequent,support,confidence,lift
{26},{38},0.412,0.286,1.065
{38},{26},0.269,0.439,1.065
{2},{46},0.273,0.376,1.009
{46},{2},0.372,0.275,1.009
{32},{2},0.413,0.293,1.076
{2},{32},0.273,0.444,1.076
{42},{12},0.317,0.39,1.068
{12},{42},0.365,0.339,1.068
{12},{46},0.365,0.4,1.074
{46},{12},0.372,0.392,1.074
{32},{12},0.413,0.359,0.982
{12},{32},0.365,0.405,0.982
{12},{39},0.365,0.316,1.0
{39},{12},0.316,0.365,1.0
{12},{29},0.365,0.302,1.079
{29},{12},0.28,0.394,1.079
{12},{38},0.365,0.307,1.141
{38},{12},0.269,0.417,1.141
{42},{46},0.317,0.405,1.087
{46},{42},0.372,0.345,1.087
{32},{42},0.413,0.334,1.052
{42},{32},0.317,0.434,1.052
{42},{39},0.317,0.347,1.098
{39},{42},0.316,0.348,1.098
{32},{46},0.413,0.395,1.062
{46},{32},0.372,0.438,1.062
{46},{39},0.372,0.346,1.095
{39},{46},0.316,0.408,1.095
